objectid,parentid,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,longitude,latitude
"127",,Birdsall Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.80944444,42.30805556
"128",,Bixby Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,-75.47888889,42.28722222
"129",,Blackman Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.58055556,42.45916667
"130",,Bloom Cemetery,,,,cemetery,North Norwich,,,,,,,,record,,,,-75.45777778,42.60138889
"131",,Bly Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.72833333,42.31805556
"132",,Bonney Cemetery,,,,cemetery,Smyrna,,,,,,,,record,,,,-75.45777778,42.60138889
"133",,Bosworth Farm Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.72055556,42.57833333
"134",,Brackel (Church) Cemetery,,,,cemetery,Pitcher,,,,,,,,record,,,,-75.83777778,42.55361111
"135",,Brisben Baptist Church Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.67972222,42.36694444
"136",,Broad Cemetery,,,,cemetery,Afton,,,,,,,,record,,,,-75.42777778,42.21611111
"137",,Brooksbank Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.56444444,42.39055556
"138",,Brown Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.75027778,42.56305556
"139",,Brown Cemetery,,,,cemetery,Plymouth,,,,,,,,record,,,,-75.59777778,42.63
"140",,Brown Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.63416667,42.51083333
"141",,Burdick Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.78722222,42.58194444
"143",,Button Burial Plot,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.70361111,42.54888889
"144",,Campbell Cemetery,,,,cemetery,Columbus,,,,,,,,record,,,,-75.40222222,42.70055556
"145",,Carter School House Cemetery,,,,cemetery,Columbus,,,,,,,,record,,,,-75.36111111,42.71388889
"147",,Champlin Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.68888889,42.54888889
"149",,Chapin Hill Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,,
"150",,Chase Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,,
"151",,Christ Church Cemetery,,,,cemetery,Sherburne,,,,,,,,record,,,,-75.49472222,42.68
"153",,Clark Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,,
"154",,"Cline, F. Cemetery",,,,cemetery,Smithville,,,,,,,,record,,,,-75.70416667,42.42861111
"155",,"Cline, P. Cemetery",,,,cemetery,Smithville,,,,,,,,record,,,,-75.85277778,42.43611111
"156",,Cole Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.38833333,42.52277778
"158",,Collins Farm Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,,
"160",,Columbus Corners Cemetery,,,,cemetery,Columbus,,,,,,,,record,,,,-75.32861111,42.68277778
"161",,Colwell Cemetery,,,,cemetery,Plymouth,,,,,,,,record,,,,-75.565,42.56972222
