title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,reference_url
"Benedict Cemetery","","","","cemetery","Pharsalia","","","","","","","","","","/item.html?id=125"
"Birdsall Cemetery","","","","cemetery","Greene","42.30805556","-75.80944444","","","","","","","","/item.html?id=127"
"Bixby Cemetery","","","","cemetery","Bainbridge","42.28722222","-75.47888889","","","","","","","","/item.html?id=128"
"Blackman Cemetery","","","","cemetery","Oxford","42.45916667","-75.58055556","","","","","","","","/item.html?id=129"
"Bloom Cemetery","","","","cemetery","North Norwich","42.60138889","-75.45777778","","","","","","","","/item.html?id=130"
"Bly Cemetery","","","","cemetery","Greene","42.31805556","-75.72833333","","","","","","","","/item.html?id=131"
"Bonney Cemetery","","","","cemetery","Smyrna","42.60138889","-75.45777778","","","","","","","","/item.html?id=132"
"Bosworth Farm Cemetery","","","","cemetery","Pharsalia","42.57833333","-75.72055556","","","","","","","","/item.html?id=133"
"Brackel (Church) Cemetery","","","","cemetery","Pitcher","42.55361111","-75.83777778","","","","","","","","/item.html?id=134"
"Brisben Baptist Church Cemetery","","","","cemetery","Greene","42.36694444","-75.67972222","","","","","","","","/item.html?id=135"
"Broad Cemetery","","","","cemetery","Afton","42.21611111","-75.42777778","","","","","","","","/item.html?id=136"
"Brooksbank Cemetery","","","","cemetery","Oxford","42.39055556","-75.56444444","","","","","","","","/item.html?id=137"
"Brown Cemetery","","","","cemetery","Pharsalia","42.56305556","-75.75027778","","","","","","","","/item.html?id=138"
"Brown Cemetery","","","","cemetery","Plymouth","42.63","-75.59777778","","","","","","","","/item.html?id=139"
"Brown Cemetery","","","","cemetery","Preston","42.51083333","-75.63416667","","","","","","","","/item.html?id=140"
"Burdick Cemetery","","","","cemetery","Pharsalia","42.58194444","-75.78722222","","","","","","","","/item.html?id=141"
"Button Burial Plot","","","","cemetery","Pharsalia","42.54888889","-75.70361111","","","","","","","","/item.html?id=143"
"Campbell Cemetery","","","","cemetery","Columbus","42.70055556","-75.40222222","","","","","","","","/item.html?id=144"
"Carter School House Cemetery","","","","cemetery","Columbus","42.71388889","-75.36111111","","","","","","","","/item.html?id=145"
"Champlin Cemetery","","","","cemetery","Pharsalia","42.54888889","-75.68888889","","","","","","","","/item.html?id=147"
"Chapin Hill Cemetery","","","","cemetery","New Berlin","","","","","","","","","","/item.html?id=149"
"Chase Cemetery","","","","cemetery","Preston","","","","","","","","","","/item.html?id=150"
"Christ Church Cemetery","","","","cemetery","Sherburne","42.68","-75.49472222","","","","","","","","/item.html?id=151"
"Clark Cemetery","","","","cemetery","Guilford","","","","","","","","","","/item.html?id=153"
"Cline, F. Cemetery","","","","cemetery","Smithville","42.42861111","-75.70416667","","","","","","","","/item.html?id=154"
"Cline, P. Cemetery","","","","cemetery","Smithville","42.43611111","-75.85277778","","","","","","","","/item.html?id=155"
"Cole Cemetery","","","","cemetery","New Berlin","42.52277778","-75.38833333","","","","","","","","/item.html?id=156"
"Collins Farm Cemetery","","","","cemetery","Norwich","","","","","","","","","","/item.html?id=158"
"Columbus Corners Cemetery","","","","cemetery","Columbus","42.68277778","-75.32861111","","","","","","","","/item.html?id=160"
"Colwell Cemetery","","","","cemetery","Plymouth","42.56972222","-75.565","","","","","","","","/item.html?id=161"
"Congregational Church Cemetery","","","","cemetery","Bainbridge","42.29138889","-75.47805556","","","","","","","","/item.html?id=162"
"Coon Cemetery","","","","cemetery","New Berlin","42.61277778","-75.43916667","","","","","","","","/item.html?id=163"
"Cooper Cemetery","","","","cemetery","Guilford","42.36138889","-75.50027778","","","","","","","","/item.html?id=164"
"Cornell Cemetery","","","","cemetery","Guilford","42.4525","-75.43694444","","","","","","","","/item.html?id=166"
"Corning Cemetery","","","","cemetery","Pitcher","42.56027778","-75.82972222","","","","","","","","/item.html?id=167"
"Coventry Cemetery","","","","cemetery","Coventry","42.315","-75.63444444","","","","","","","","/item.html?id=168"
"Coventryville Cemetery","","","","cemetery","Coventry","42.31194444","-75.59777778","","","","","","","","/item.html?id=169"
"Cox Cemetery","","","","cemetery","Plymouth","42.63361111","-75.60583333","","","","","","","","/item.html?id=171"
"Crane Cemetery","","","","cemetery","Pharsalia","42.58416667","-75.77666667","","","","","","","","/item.html?id=172"
"Cummings Cemetery","","","","cemetery","Greene","","","","","","","","","","/item.html?id=173"
"Curtis Cemetery","","","","cemetery","Oxford","42.44611111","-75.58055556","","","","","","","","/item.html?id=174"
"Curtiss Cemetery","","","","cemetery","Preston","42.49472222","-75.63388889","","","","","","","","/item.html?id=175"
"Daniel Cemetery","","","","cemetery","Preston","42.54972222","-75.66388889","","","","","","","","/item.html?id=176"
"Davis Cemetery","","","","cemetery","Bainbridge","42.30638889","-75.51888889","","","","","","","","/item.html?id=177"
"Davis Cemetery","","","","cemetery","Norwich","42.48083333","-75.53083333","","","","","","","","/item.html?id=178"
"Davis Cemetery","","","","cemetery","Smithville","42.43611111","-75.85277778","","","","","","","","/item.html?id=179"
"Deshom Cemetery","","","","cemetery","Preston","","","","","","","","","","/item.html?id=180"
"Donnelly Cemetery","","","","cemetery","Plymouth","42.55611111","-75.58777778","","","","","","","","/item.html?id=181"
"Dorman Cemetery","","","","cemetery","Guilford","42.41472222","-75.50555556","","","","","","","","/item.html?id=182"
"Dunkin Plot","","","","cemetery","North Norwich","42.63861111","-75.48944444","","","","","","","","/item.html?id=183"
"Dutch Hill Cemetery","","","","cemetery","German","42.475","-75.77805556","","","","","","","","/item.html?id=184"
"East Side Cemetery","","","","cemetery","Afton","42.2257470278128","-75.5180553239142","","","","","","","","/item.html?id=190"
"Eccleston Cemetery","","","","cemetery","Preston","","","","","","","","","","/item.html?id=191"
